If you enjoyed,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
State of Drupal 2016 survey | Dries Buytaert,Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8,Dries Buytaert,How We Migrated Data into Drupal from Four Different Sources Using the Migrate Module | Acquia,Dries Buytaert,The Death of Drupal Commerce as an Ecommerce Solution - Third & Grove
Chat Smarter with Allo,Google's Cloud Investments are Finally Starting to Pay Off,"BigQuery 1.11, now with Standard SQL, IAM, and partitioned tables! | Google Cloud Big Data and Machine Learning Blog",While doves were crying: this week on Google Cloud Platform,'Training for Google Apps' Is One Of Chrome's Best Kept Secrets - OMG! Chrome!,"Every shot Kobe Bryant ever took. All 30,699 of them"
Get ready for Google I/O 2016,Artificial intelligence is changing SEO faster than you think,5 open-source alternatives to Slack,"Secret's founder returns with Bold, a Medium for enterprise",Machine Intelligence - Research at Google,From Google to the world: the Kubernetes origin story
Google Maps agora mostra se local tem entrada com acessibilidade | Google Discovery,Support your Gmail users more easily with revamped bounce messages and message headers,Aplicação de visão computacional com OpenCV,Google releases keyboard for the iPhone with built-in search features,Apresentação da nova placa de desenvolvimento Arduino MKRZero -,O WhatsApp do Google chegou e se chama Allo
Home-Made Twitter and Gmail Notifications with PHP and Arduino,Testing a new Drupal 8 installation with 2 Docker commands,OpenVpn rodando com Docker no Raspberry Pi,Custo do Erro - Cinco motivos para investir em automação de testes,Google Cloud Platform's preemptible VMs are now up to 33% cheaper,LIBERAÇÃO MIOFASCIAL - O QUE É E COMO FAZER
"Ganhe 6 meses de acesso ao Pluralsight, maior plataforma de treinamento online",Não ao preconceito! ONU celebra Dia da Visibilidade de Mulheres Lésbicas e Bissexuais,Why Is Learning Drupal Hard?,Docker 1.12: Now with Built-in Orchestration!,Iniciando com o Docker: Criando suas próprias imagens - Tableless,"Google anuncia MODE, pulseiras com tecnologia snap-and-swap para Android Wear | Google Discovery"
Este texto do Ranieri é a melhor coisa que você lerá hoje,Bayer propõe comprar Monsanto para formar a maior agroquímica do mundo,Programa de Demissão Voluntária na Moto Honda tem mais de 500 adesões,"Carne artificial acabará com o agronegócio brasileiro, afirma especialista",Cargill anuncia mudanças estratégicas para fortalecer a marca Nutron,Tetra Pak Cheese and Powder Systems acquires Laude
Best of CES 2017: The Show's 10 Coolest Designs,Why Deep Learning Is Suddenly Changing Your Life,Terms Aggregation in Elastic Search,[Books] Biblioteca FIXE: Sugestões de Leitura,O RH chega ao board,"Cozmo Is the Smartest, Cutest AI-Powered Robot You've Ever Seen"
Windows Server 2016 will come with commercial support for Docker Engine,Kit de sensor BLE alimentado por energia solar,Aprendizado de máquina do Google pode detectar retinopatia diabética | Google Discovery,Contêiner do Windows no Windows 10,"Zuul 2 : The Netflix Journey to Asynchronous, Non-Blocking Systems","STEMTera, uma protoboard com Arduino Uno embutido"
Goodbye accountants! Startup builds AI to automate all your accounting,I've got standards - which one do you want? [UPDATE 5 APRIL 2016],Aplicativo Celcoin oferece a possibilidade de trocar bitcoins por crédito em reais,Startup usa algoritmo e rede social para aprovar empréstimos | EXAME.com,"Idwall, a startup de dados que bancos, fintechs e empresas de pagamento estão de olho.",Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com
Million-dollar babies,Good Software Takes Ten Years. Get Used To it.,This Super Accurate Portrait Selection Tech Uses Neural Networks,Build Zappos like faceted navigation with ElasticSearch,Terms Aggregation in Elastic Search,Aggregations
"diagramas para entender, criar, inovar e empreender: 3",Bringing easy and fast checkout with Payment Request API | Web Updates - Google Developers,Corporate Intrapreneur Summit,The return of the machinery question,Python Eats Into R as SAS Dominance Fades,Who sponsors Drupal development? | Dries Buytaert
[Tools] Universities should ban PowerPoint - It makes students stupid and professors boring,"[Tools] Personal Kanban in ""Favro""",Onde está o duplo diamante do DT em projetos ágeis,[Security] How to Set Expiration Dates for Shared Google Drive Files,Lady Gaga's startup Backplane burns out and sells assets,Atlassian launches Bitbucket Pipelines
Google planeja ferramentas de inteligência artificial para Raspberry Pi | Google Discovery,Create a Slack Bot to Interact with Your Wiki,Introducing Mini Courses with MS Chatbots,Docker Online Meetup #46: Introduction to InfraKit - Docker Blog,"Lava-louças Brastemp Ative! 8 Serviços Blf08abana 110v - R$ 800,00",React v15.0.1 | React
Dial in with ease using the latest Google Calendar app for Android,Google moves to replace Flash with HTML5,"Projeto Ara, o smartphone modular do Google, pode chegar ao mercado em 2017 | Google Discovery",Embed charts from Google Sheets in Google Docs and Slides and update them with a single click,Login sem senha no Android deve chegar até o final de 2016 | Google Discovery,Google lança teclado virtual para iPhone com recursos de pesquisa | Google Discovery
Livro: Retrospectivas Divertidas,Cinco competências comportamentais para você ser um bom líder,Lessons from Becoming a Data-Driven Organization,Stop Trying to Sound Smart When You're Writing,A Technical Primer On Causality,How to E-Mail a Busy Person & get a Reply - Desk of van Schneider
The Future of Business is Design,Inception (2010),"IDEO founder David Kelley talks design, Steve Jobs, cancer, and the importance of empathy",Google Unveiled A Partnership With Levi's To Create Smart Clothing,Amazon has a huge opportunity in grocery delivery,Trooly is using machine learning to judge trustworthiness from digital footprints
Visa inaugura centro para inovação em pagamento digital | EXAME.com,Android Developers Summer Reading List,Announcing updates to Google's Internet of Things platform: Android Things and Weave,"How to build a robot that ""sees"" with $100 and TensorFlow",Why Silicon Valley is all wrong about Apple's AirPods - Chris Messina,Humanos seriam desse jeito se evoluíssem para sobreviver a acidentes de carro
10 Simple Habits of Insanely Productive People,"Tenho várias ideias de negócios, qual devo levar adiante?","Celular se torna principal meio de acesso à internet nos lares, diz IBGE",Microsoft Continues to Embrace Ethereum & Bitcoin - Bitcoin News,You're Asking Too Much of Chat Bots. Just Let Them Grow Up,Platform Overview
Banco Original discute tendências dos serviços financeiros e lança plataforma para desenvolvedores - Startupi,Accenture and Adboe team on customer enegagement,"Facebook says 10K+ developers are building chatbots, analytics coming",The Digital Transformation Playbook: Rethink Your Business for the Digital Age (Columbia Business School Publishing) eBook Kindle,Blockchain Will Be Used By 15% of Big Banks By 2017,Global Data Bank é lançado internacionalmente com operação no Brasil
"LendingRobot Lets You Monitor Your Portfolio Performance On Prosper, Lending Club, And Funding Circle",Conversational Banking; from branches to bots. - Chatbots Magazine,3Dprintler lets you order a 3D print via chatbot,"Amazon looking to buy Capital One? "" Banking Technology",MOBILE TIME - Nascem os primeiros chatbots brasileiros,"Chatbots Are Your Newest, Dumbest Co-Workers"
Introduction To Chatbots,How to E-Mail a Busy Person & get a Reply - Desk of van Schneider,Pury - New Way to Profile Your Android Application,Tasting Dagger 2 on Android,Duolingo's chatbots help you learn a new language,Client-side ranking to more efficiently show people stories in feed
Android Quickstart - Firebase,Sesi oferece curso de LIBRAS com certificação de 40 horas,"Android N Developer Preview 2, out today! | Android Developers Blog",Microsoft Continues to Embrace Ethereum & Bitcoin - Bitcoin News,"ConstraintLayout, Inside and Out: Part 2",Governo busca empresas para aprimorar Internet das Coisas no Brasil
Seniority,"Why Performance Matters, Part 3: Tolerance Management - Smashing Magazine",When to make a Git Commit,Dries Buytaert,"Google Pixel, o primeiro smartphone feito pelo Google | Google Discovery",How To Manage Your Drupal Patches with 'Drush Patch File' | Chromatic
This Super Accurate Portrait Selection Tech Uses Neural Networks,The Competitive Landscape for Machine Intelligence,CrowdFlower raises $10 million from Microsoft and others to bring AI to data science,"Deep Learning for Chatbots, Part 2 - Implementing a Retrieval-Based Model in Tensorflow",Why Steve Jobs Was Proud to Steal Ideas,How Mark Zuckerberg Led Facebook's War to Crush Google Plus
Steak Tartare com Salada Verde,"Largest botnet attack in history peaks at over 1 terabits per second, aided by Internet of Things",Conheça 20 atletas LGBT que vão competir nas Olimpíadas do Rio,Where accountability really matters,Este site quer conectar profissionais trans e travestis a empresas que não têm preconceito,Bash on Ubuntu on Windows - Download Now!
Solidity Available in Visual Studio - Ethereum Blog,The Progress of Web Apps - On the Edge,"Walgreens now lets you digitally clip coupons from its iOS app, redeem in-store through Apple Pay with loyalty card",Developing iOS 9 Apps with Swift - Curso grátis de Stanford no iTunes U,Gmail e Inbox by Gmail terão suporte a e-mails com design responsivo | Google Discovery,Características de Arquiteturas Evolutivas
The Death of Drupal Commerce as an Ecommerce Solution - Third & Grove,"Waterwheel, the Drupal SDK Ecosystem",Dries Buytaert,"Thunder, a Drupal distribution for publishers","Google Pixel, o primeiro smartphone feito pelo Google | Google Discovery",State of Drupal 2016 survey | Dries Buytaert
Introducing Google Consumer Surveys API: Let users of your app create surveys,New settings for 2-Step Verification,"Big data, big differentiators: this week on Google Cloud Platform","Cloud Shell now GA, and still free",Here's how Evernote moved 3 petabytes of data to Google's cloud,A New Number Format for Computers Could Nuke Approximation Errors for Good
Starbucks tem mais dinheiro do cliente em cartões do que bancos,I've got standards - which one do you want? [UPDATE 5 APRIL 2016],Aplicativo Celcoin oferece a possibilidade de trocar bitcoins por crédito em reais,Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com,"Bancos brasileiros aplicaram R$ 19,2 bilhões em esforços de TI em 2015","Idwall, a startup de dados que bancos, fintechs e empresas de pagamento estão de olho."
Java 9 Early Access: A Hands-on Session with JShell - The Java REPL | Takipi Blog,Usando o git add interativo,Eclipse Foundation Releases Neon,Aurelia 1.0 is Here!!!,Descubra os 10 apps mais importantes para o brasileiro,Sobre o Hipsters Ponto Tech
